careerOpportunitiesRating,compensationAndBenefitsRating,cultureAndValuesRating,exactMatch,id,industry,industryId,industryName,isEEP,name,numberOfRatings,overallRating,ratingDescription,recommendToFriendRating,sectorId,sectorName,seniorLeadershipRating,squareLogo,website,workLifeBalanceRating,review_URL,review_ID,review_currentJob,review_DateTime,review_jobTitle,review_location,review_pros,review_cons,review_overall,ceo_name,ceo_title,ceo_numberOfRatings,ceo_approval_rate,ceo_Photo_URL,parentEmployer_name,parentEmployer_ID,parentEmployer_logoURL
4.7,4.7,4.8,True,924644,IT Services,200064.0,IT Services,True,Zoom Video Communications,252,4.6,Very Satisfied,95,10013.0,Information Technology,4.7,https://media.glassdoor.com/sqll/924644/zoom-video-communications-squarelogo-1450871590327.png,www.zoom.us,4.7,https://www.glassdoor.com/Reviews/Employee-Review-Zoom-Video-Communications-RVW30249175.htm,30249175.0,True,2019-11-07 04:56:37.51,Enterprise Account Executive,"West Palm Beach, FL","Culture, culture, culture.  Our products are great and there is high demand.  The Zoom brand is amazing.  Customer LOVE our products.  But no one takes that for granted here.  The entire Zoom team strives to DELIGHT our customers and overdeliver on our products and services every single day.",Some of the sales processes are still a little clunky and manual for sales reps.,5.0,Eric S. Yuan,CEO,239.0,96.0,https://media.glassdoor.com/people/sqll/924644/zoom-video-communications-ceo1511876201316.png,,,
4.2,4.3,4.5,True,14276,Fast-Food & Quick-Service Restaurants,200098.0,Fast-Food & Quick-Service Restaurants,False,In-N-Out Burger,1445,4.3,Very Satisfied,89,10021.0,"Restaurants, Bars & Food Services",3.8,https://media.glassdoor.com/sqll/14276/in-n-out-burger-squarelogo-1479940244881.png,www.in-n-out.com,3.8,https://www.glassdoor.com/Reviews/Employee-Review-In-N-Out-Burger-RVW30649962.htm,30649962.0,False,2019-12-01 21:10:33.877,Grill Cook,"San Jose, CA",Very great place to work. Meet new people everyday. Co-workers are always super friendly. Free Double-Double during breaks !,Very busy all the time,5.0,Lynsi Snyder,President,923.0,95.0,https://media.glassdoor.com/people/sqll/14276/in-n-out-burger-lynsi-snyder.png,,,
4.2,4.2,4.3,True,691343,Computer Hardware & Software,200060.0,Computer Hardware & Software,True,Procore Technologies,375,4.2,Very Satisfied,79,10013.0,Information Technology,4.0,https://media.glassdoor.com/sqll/691343/procore-technologies-squarelogo-1534268047446.png,www.procore.com,4.2,https://www.glassdoor.com/Reviews/Employee-Review-Procore-Technologies-RVW30436884.htm,30436884.0,True,2019-11-18 08:04:13.787,Customer Success Outreach Manager,"Carpinteria, CA","Flexible schedule
Unlimited PTO
Incredible company values that executives live by",Lower pay scale than software average,5.0,Craig “Tooey” Courtemanche,Founder and CEO,330.0,94.0,https://media.glassdoor.com/people/sqll/691343/procore-technologies-ceo1543536635255.png,,,
4.3,4.4,4.2,True,3879,Consulting,200028.0,Consulting,True,Boston Consulting Group,2570,4.2,Very Satisfied,85,10006.0,Business Services,3.9,https://media.glassdoor.com/sqll/3879/boston-consulting-group-squarelogo-1542638241146.png,www.bcg.com,3.0,https://www.glassdoor.com/Reviews/Employee-Review-Boston-Consulting-Group-RVW30286341.htm,30286341.0,True,2019-11-09 04:12:24.75,Employee,,Amazing culture and benefits. Free breakfast and lunch.,Low pay for BST and no room for promotion,5.0,Rich Lesser,President and CEO,1152.0,95.0,https://media.glassdoor.com/people/sqll/3879/boston-consulting-group-rich-lesser.png,,,
4.0,4.0,5.0,False,2048194,,,,False,Greater Boston Consulting Group,1,5.0,Very Satisfied,100,,,5.0,,www.greaterbostonconsulting.com,4.0,https://www.glassdoor.com/Reviews/Employee-Review-Greater-Boston-Consulting-Group-RVW20034817.htm,20034817.0,True,2018-04-05 15:08:53.567,Principal,"North Reading, MA",Great Team and culture...top notch,There are no cons to speak of,5.0,,,,,,,,
0.0,0.0,0.0,False,389186,Consulting,200028.0,Consulting,False,Hamilton & Boston Consulting,0,0,Not Applicable,0,10006.0,Business Services,0.0,,www.hbconsultgroup.com,0.0,,,,,,,,,,,,,,,,,
4.1,4.2,3.9,False,967537,Consulting,200028.0,Consulting,False,BCG Digital Ventures,131,3.9,Satisfied,75,10006.0,Business Services,3.6,https://media.glassdoor.com/sqll/967537/bcg-digital-ventures-squarelogo-1462867770668.png,www.bcgdv.com,3.4,https://www.glassdoor.com/Reviews/Employee-Review-BCG-Digital-Ventures-RVW30548202.htm,30548202.0,False,2019-11-24 09:16:15.983,Growth Architect,"Manhattan Beach, CA",Not many places can offer access to this kind of diversity of industries and initiatives. There is a lot one can do in a little amount of time.,Some talent gets left behind while others are not contributing in senior positions.,5.0,Stefan Gross-Selbeck,Global Managing Partner,23.0,76.0,,,,
4.5,3.6,4.7,False,1650445,Consulting,200028.0,Consulting,False,Alira Health,10,4.7,Very Satisfied,100,10006.0,Business Services,4.4,https://media.glassdoor.com/sqll/1650445/alira-health-squarelogo-1557435480635.png,www.alirahealth.com,4.1,https://www.glassdoor.com/Reviews/Employee-Review-Alira-Health-RVW29917739.htm,29917739.0,False,2019-10-20 13:53:13.043,Analyst Intern,"Boston, MA",Very friendly environment and tight knit community. I learned a lot about the consulting field and healthcare.,Small boutique in Boston with a small team.,5.0,Gabriele Brambilla,CEO,8.0,100.0,,,,
5.0,5.0,5.0,False,270964,Advertising & Marketing,200022.0,Advertising & Marketing,False,Boston Industrial Consulting,1,5.0,Very Satisfied,100,10006.0,Business Services,5.0,https://media.glassdoor.com/sqll/270964/boston-industrial-consulting-squarelogo-1535345091176.png,www.bicinc.com,5.0,https://www.glassdoor.com/Reviews/Employee-Review-Boston-Industrial-Consulting-RVW23294842.htm,23294842.0,True,2018-11-06 12:40:24.037,Employee,,"This company is the definition of a team environment, thus creating both an impressive & effective daily workflow. The staff is phenomenal to work with, as well as learn from. I only wish I had joined this company earlier in my career!","I have no cons to share, this company is great!",5.0,,,,,,,,
4.0,5.0,5.0,False,2932891,,,,False,Boston Management Consulting International,1,5.0,Very Satisfied,100,,,5.0,,www.bostonmc.com,5.0,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,False,1303197,,,,False,Tehran â€“ Boston Consulting Engineers,1,3.0,OK,100,,,0.0,,www.tbe.ir,0.0,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,False,2159470,,,,False,Boston International Media Consulting,0,0,Not Applicable,0,,,0.0,,www.bostonimc.com,0.0,,,,,,,,,,,,,,,,,
3.4,3.2,3.4,False,8347,Biotech & Pharmaceuticals,200021.0,Biotech & Pharmaceuticals,True,IQVIA,4310,3.5,Satisfied,66,10005.0,Biotech & Pharmaceuticals,3.0,https://media.glassdoor.com/sqll/8347/quintilesims-squarelogo-1509985725932.png,www.iqvia.com,3.4,https://www.glassdoor.com/Reviews/Employee-Review-IQVIA-RVW22807308.htm,22807308.0,True,2018-10-04 21:04:12.797,Project Leader,"San Diego, CA","A market leader in healthcare with chances to work with the biggest names in pharma and biotech, on life changing clinical trials. You are contributing to new impactful diseases treatments from Cancer to Heart Disease, and work with people that are some of the foremost experts in their fields. Good sense of teamwork, industry leader, great benefits. Flexibility in schedule as well as location working remotely or in your local office.","Project timelines and customers can be challenging. Big company can feel disconnected, need to find your niche and build relationships. Global teams and projects means your hours can be all over the place.",5.0,Ari Bousbib,Chairman and CEO,1135.0,72.0,https://media.glassdoor.com/people/sqll/8347/ims-health-ari-bousbib.png,,,
3.8,4.3,4.4,True,34865,Internet,200063.0,Internet,False,LinkedIn,2835,4.3,Very Satisfied,84,10013.0,Information Technology,3.9,https://media.glassdoor.com/sqll/34865/linkedin-squarelogo-1559685522766.png,www.linkedin.com,4.3,https://www.glassdoor.com/Reviews/Employee-Review-LinkedIn-RVW30511201.htm,30511201.0,False,2019-11-21 14:59:34.79,Employee,,"Great training,  creative account growth freedom and a competitive work environment.","This is not unusual, but being aware that internal favouritism and a biased work environment is inevitable can be a struggle. Especially for those new to this organization, just starting out and  unfamiliar with their inner office politics.  This industry requires a very tough skin for internal/ external clients and the preparedness to conduct courageous budget and workexpectation discussions with clients.",5.0,Jeff Weiner,CEO,2277.0,97.0,https://media.glassdoor.com/people/sqll/34865/linkedin-jeff-weiner.png,Microsoft,1651.0,https://media.glassdoor.com/sql/1651/microsoft-squarelogo-1479856042252.png
4.0,5.0,5.0,True,2690302,,,,False,LinkedIn,1,5.0,Very Satisfied,0,,,4.0,,https:www.linkedin.com,5.0,,,,,,,,,,,,,,,,,
4.0,4.0,5.0,False,2708873,,,,False,RRH Linkedin,1,5.0,Very Satisfied,100,,,0.0,,www.rrhlinkedin.com,5.0,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,False,1370517,,,,False,Sycamore Architecture Research,0,0,Not Applicable,0,,,0.0,https://media.glassdoor.com/sqll/1370517/sycamore-architecture-research-squarelogo-1569484647099.png,www.sycamore.it,0.0,,,,,,,,,,Raniero Botti,Owner,0.0,0.0,,,,
3.4,3.3,3.4,False,1138940,Advertising & Marketing,200022.0,Advertising & Marketing,False,Black Marketing,36,3.4,OK,57,10006.0,Business Services,3.3,https://media.glassdoor.com/sqll/1138940/black-marketing-squarelogo-1567831628500.png,www.blackmarketing.com,3.3,https://www.glassdoor.com/Reviews/Employee-Review-Black-Marketing-RVW16532461.htm,16532461.0,False,2017-08-26 00:34:27.227,Employee,,"-CEO's more of a mentor than a boss, he is kind and helpful, patient to guide.
- Friendly working environment, friendly colleague.
- Flexible as long as you finish your tasks efficiently and effectively, you pretty much have the freedom you want to have. 
- Company bonding, frequent entertainment session eg concerts and yummy meals.
- complimentary staff pantry credit on top of the existing free pantry provided.
- beautiful office to work in.","- No bonus but you've a part of  the share,
- Company politics are normal, just stay out of it",4.0,Chris J Reed,Founder and CEO,17.0,56.0,,,,
4.2,4.6,4.3,True,40772,Internet,200063.0,Internet,True,Facebook,4081,4.4,Very Satisfied,87,10013.0,Information Technology,4.0,https://media.glassdoor.com/sqll/40772/facebook-squarelogo-1557164967523.png,www.facebook.com,3.8,https://www.glassdoor.com/Reviews/Employee-Review-Facebook-RVW13818302.htm,13818302.0,True,2017-02-16 19:37:03.677,Employee,"Menlo Park, CA","- Incredible benefits 
- Excellent compensation that rewards strong performance 
- Lots of autonomy 
- Tons of room for growth
- Very transparent from the top down
- Strong leadership
- Intelligent and caring colleagues
- The most fair and well thought out review process you will find everywhere 
- Exciting work","- If you don't learn to make the work life balance work for you, it can be exhausting. But you'll also be given lots of support with this if you ask for it. 
- It doesn't matter how good you are at your job, chances are you're going to be surrounded by a ton of other people who are just as good if not better. Imposter syndrome is real, but if you got an offer, you probably belong here too.",5.0,Mark Zuckerberg,CEO,3001.0,91.0,https://media.glassdoor.com/people/sqll/40772/facebook-ceo1538973361869.png,,,
3.5,3.4,3.6,False,30216,Consulting,200028.0,Consulting,False,PRO Unlimited,708,4.0,Satisfied,81,10006.0,Business Services,3.5,https://media.glassdoor.com/sqll/30216/pro-unlimited-squarelogo-1425574230459.png,www.prounlimited.com,3.9,https://www.glassdoor.com/Reviews/Employee-Review-PRO-Unlimited-RVW30528236.htm,30528236.0,True,2019-11-22 12:54:17.677,Operations Manager,"Austin, TX",Great opportunity to learn all facets of the contingent workforce industry.  PRO has an excellent training program and also provides their employees the opportunity to support/experience various client cultures.,"Slightly slower scale for upward growth, but if you are wanting to advance, they will make it a priority to direct you.",5.0,Andrew Schultz,CEO,370.0,92.0,https://media.glassdoor.com/people/sqll/30216/pro-unlimited-andrew-schultz.png,,,
0.0,0.0,0.0,False,2315568,,,,False,Buy Instagram Followers 365,1,5.0,Very Satisfied,0,,,0.0,https://media.glassdoor.com/sqll/2315568/buy-instagram-followers-365-squarelogo-1553536000532.png,www.buyinstagramfollowers365.co.uk,0.0,https://www.glassdoor.com/Reviews/Employee-Review-Buy-Instagram-Followers-365-RVW23559334.htm,23559334.0,False,2018-11-25 22:13:57.65,Employee,,They are very efficient and effective,There wasnâ€™t many  cons there,5.0,,,,,,,,
3.0,4.0,5.0,False,2244152,,,,False,Nexo (TX),1,4.0,Satisfied,100,,,5.0,https://media.glassdoor.com/sqll/2244152/nexo-tx-squarelogo-1535585059756.png,www.nexorevolution.com,5.0,,,,,,,,,,,,,,,,,
4.1,4.4,4.3,True,9079,Internet,200063.0,Internet,False,Google,12246,4.4,Very Satisfied,87,10013.0,Information Technology,3.9,https://media.glassdoor.com/sqll/9079/google-squarelogo-1441130773284.png,www.google.com,4.1,https://www.glassdoor.com/Reviews/Employee-Review-Google-RVW4204034.htm,4204034.0,True,2014-05-10 14:46:38.187,Software Engineer III,"New York, NY","* If you're a software engineer, you're among the kings of the hill at Google. It's an engineer-driven company without a doubt (that *is* changing, but it's still very engineer-focused).
* The perks are amazing. Yes, free breakfast, lunch, an dinner every weekday. Aaaaaamazing holiday parties (at Waldorf Astoria, NY Public Library, MoMA, etc.); overnight ski trips to Vermont; overnight nature trips to the Poconos in the summer; summer picnics at Chelsea piers; and on and on and on. I don't see this going away unless the company starts hurting financially.
* Speaking of which, the company is doing quite well, which reflects in bonuses and equity grants.
* There a huge diversity of work ranging from defending independent journalism worldwide (Google Project Shield) to crisis response during disasters (see Maps during Hurricane Sandy or Tsunamis), to the best machine learning experts and projects in the world, to more mundane revenue-driving projects in advertising, there's really something for everybody.
* It's easy to move around within the company as long as you're in good standing (the vast majority of engineers are).
* The company is amazingly open: every week Larry Page and Sergey Brin host what's called TGIF where food, beer, wine, etc. is served, a new project is presented, and afterward there's an open forum to ask the executives anything you want. It's truly fair game to ask anything, no matter how controversial, and frequently the executives will be responsive.
* No, nobody cares if you use an iPhone, Facebook, shop with Amazon, stream using Spotify, or refuse to use Google+. The company is amazingly open and flexible.

Neither pro nor con, but general information on work-life balance, promotions, and advancement.
* Work life balance can be what you want it to be on most teams. (Some teams are in more competitive sectors and require more crazy hours all the time - but very few of them). If you do what's expected, you'll be fine at least for a handful of years. Working a roughly 40 hour work week is possible, and many people do it. There are also people who are hyper-motived and work like crazy just because they love it, or because they're competitive, or they want to get a promotion. If you work 40 hour weeks without putting in anything extra, you'll fall behind them as they advance and you stand still - and maybe that doesn't matter, so it works out for everybody. But at least know where you would realistically stand.
* If you excel and work your butt off, you'll be compensated and promoted. If you let yourself be a code monkey, and just sit coding with your head down all day, you'll be fine but won't advance. A big complaint from some Googlers is about not being able to advance ""even at Google"" with pure coding. Sure, if you're the uber genius who created MapReduce and Bigtable, you're going to advance like a rocket without having to do anything but coding; but if you're like most engineers at Google -- smarter than average, but just average compared to other Googlers -- you're just a good coder and not revolutionary. Code monkeys are important to actually get stuff done, and to be sure you absolutely need to be a good coder as a software engineer (it's the minimum requirement), but code monkeys won't advance because they're not leaders and they're easy to replace. To get promoted you need to lead and do more than just code. There are plenty of ways to lead other than being an official tech lead, so this isn't actually _that_ hard, so the real point is just that you can't just sit there coding what other people tell you to code all day and expect to advance.","* It *is* becoming larger, and with it comes growing pains: bureaucracy, slow to respond to market threats, bloated teams, cross-divisional tension (though nothing remotely approaching that of Microsoft's internal tension).
* The quality of the engineers is possibly dropping, but possibly not. It's hard to get real metrics, because as the absolute number of people grows, naturally the number of bad apples grows; as a percentage it's supposedly the same as it ever was, but with larger numbers of poorer quality engineers it just _feels_ like things might be changing for the worse.
* Also with growth means more internal-confidential data leaks (again, because of the raw numbers of people) -- product announcements being ruined, etc. That means the company has to be tighter-lipped internally to avoid leaks, which makes things less open. It's still an amazingly open place, but less so than it was even a couple years ago. The good thing is they recognize it and actively look to improve things because they know how important it is to keep the good culture.",5.0,Sundar Pichai,CEO,4118.0,91.0,https://media.glassdoor.com/people/sqll/9079/google-sundar-pichai.png,,,
5.0,4.7,4.7,False,1186310,,,,False,Google eLearn Services,4,4.8,Very Satisfied,100,,,4.5,,www.google-elearn.com,4.7,https://www.glassdoor.com/Reviews/Employee-Review-Google-eLearn-Services-RVW18075698.htm,18075698.0,True,2017-11-27 06:12:40.013,Google Applications Deployment Engineer,"New York, NY","You'll work on cutting edge projects / solve important issues that impact your community and the world

You'll meet interesting people who are your colleagues, managers, and senior management.",I live in SF so the commute can take between 1.5 hours to 1.75 hours each way on the shuttle - sometimes 2 hours each way on a busy day or rainy day. That means being on the bus for 3-4 hours PER DAY.,5.0,,,,,,,,
3.1,4.1,2.6,False,1411508,Venture Capital & Private Equity,200146.0,Venture Capital & Private Equity,False,Google Ventures,2,3.6,Satisfied,53,10010.0,Finance,3.1,,www.gv.com,4.1,https://www.glassdoor.com/Reviews/Employee-Review-Google-Ventures-RVW21669551.htm,21669551.0,True,2018-07-26 15:39:00.753,Employee,,"Hyper smart, approachable, and trustworthy teammates.",I honestly love working here.  No complaints,5.0,,,,,,,,
4.6,4.8,4.2,False,2811482,,,,False,Google Summer of Code,17,4.9,Very Satisfied,100,,,4.6,,https:summerofcode.withgoogle.com,4.8,https://www.glassdoor.com/Reviews/Employee-Review-Google-Summer-of-Code-RVW28555289.htm,28555289.0,True,2019-08-10 10:47:32.637,Student Developer,"Remote, OR","Work from home
Hefty stipend
Great mentors","Depends on the org
Work from home for too long gets dull",5.0,,,,,,,,
4.3,4.3,4.7,False,2355017,,,,False,Google Adwords & PPC Management,3,4.7,Very Satisfied,100,,,4.7,,www.googleadwordsppcseo.com,5.0,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,False,2297160,,,,False,GoogleSoS,0,0,Not Applicable,0,,,0.0,https://media.glassdoor.com/sqll/2297160/googlesos-squarelogo-1560772333371.png,www.googlesos.com,0.0,,,,,,,,,,,,,,,,,
4.0,5.0,5.0,False,1138604,,,,False,Mobile App Launchpad,1,5.0,Very Satisfied,100,,,5.0,,www.mobileapplaunchpad.com.eg,5.0,,,,,,,,,,,,,,,,,
3.5,3.2,4.1,False,35248,Staffing & Outsourcing,200032.0,Staffing & Outsourcing,False,MarketStar,710,3.8,Satisfied,75,10006.0,Business Services,3.5,https://media.glassdoor.com/sqll/35248/marketstar-squarelogo-1551903613406.png,www.marketstar.com,4.3,https://www.glassdoor.com/Reviews/Employee-Review-MarketStar-RVW30660461.htm,30660461.0,False,2019-12-02 11:05:42.013,Chrome Specialist,"Fairless Hills, PA","Hours, Training, Team Members, support",Manager was not very resourceful in technology,5.0,Keith Titus,President and CEO,35.0,98.0,,,,
2.3,2.4,2.5,False,752611,Staffing & Outsourcing,200032.0,Staffing & Outsourcing,False,Staff Management | SMX,553,2.8,OK,51,10006.0,Business Services,2.3,https://media.glassdoor.com/sqll/752611/staff-management-smx-squarelogo-1458828188334.png,www.staffmanagement.com,2.6,https://www.glassdoor.com/Reviews/Employee-Review-Staff-Management-SMX-RVW30421308.htm,30421308.0,True,2019-11-17 08:41:22.667,Stager,"Iowa City, IA",Fast interview generally nice people,No paid time off or health insurance,3.0,Carl Schweihs,President,2.0,0.0,,,,
3.2,3.1,3.5,False,152865,Consulting,200028.0,Consulting,False,Vaco,448,3.6,Satisfied,67,10006.0,Business Services,3.3,https://media.glassdoor.com/sqll/152865/vaco-squarelogo-1506099361219.png,www.vaco.com,3.8,https://www.glassdoor.com/Reviews/Employee-Review-Vaco-RVW30526578.htm,30526578.0,True,2019-11-22 11:12:06.227,Legal Assistant,"Austin, TX",Coworkers are very friendly and ready to help,Haven't had any bad experience yet,5.0,Jerry Bostelman,Co-Founder and CEO,187.0,72.0,https://media.glassdoor.com/people/sqll/152865/vaco-ceo1478897854115.png,,,
3.7,4.1,4.3,True,42589,"Department, Clothing, & Shoe Stores",200105.0,"Department, Clothing, & Shoe Stores",False,lululemon,1944,4.1,Very Satisfied,84,10022.0,Retail,3.6,https://media.glassdoor.com/sqll/42589/lululemon-squarelogo-1575401968911.png,www.lululemon.com,3.9,https://www.glassdoor.com/Reviews/Employee-Review-lululemon-RVW30661008.htm,30661008.0,True,2019-12-02 11:37:45.46,Educator,"Washington, DC",Great team environment with an entrepreneurial feel!,You need to enjoy talking to people and helping guests.,5.0,Calvin McDonald,CEO,211.0,93.0,https://media.glassdoor.com/people/sqll/42589/lululemon-ceo1538483124531.png,,,
4.2,4.3,4.4,True,611,Airlines,200134.0,Airlines,True,Southwest Airlines,2080,4.3,Very Satisfied,84,10025.0,Travel & Tourism,3.9,https://media.glassdoor.com/sqll/611/southwest-airlines-squarelogo-1411584571986.png,www.southwest.com,3.9,https://www.glassdoor.com/Reviews/Employee-Review-Southwest-Airlines-RVW30508438.htm,30508438.0,True,2019-11-21 12:12:00.007,Flight Attendant,"Phoenix, AZ",I love everything about SWA. I have only been here 5 years but will never leave. Great health insurance and huge 401K match. Travel benefits are amazing.,NOTHING. I could not be happier here.,5.0,Gary C. Kelly,"Chairman, President & CEO",1472.0,91.0,https://media.glassdoor.com/people/sqll/611/southwest-airlines-gary-c-kelly.png,,,
